aid,2000,2003,2006,2009
116625,D,C,C,C
1166250,D,D,C,C
116631,C,C,C,C
116632,C,C,A,B
116647,B,B,A,A
116657,C,C,C,C
116676,D,D,C,C
11672,D,C,C,C
116725,C,C,C,C
1167323,C,D,D,
116743,B,B,B,B
116745,A,B,B,B
116756,A,A,C,C
116774,A,B,A,A
1167751,B,B,B,B
116776,D,D,D,D
116780,B,B,B,B
116792,B,A,B,B
116793,B,B,B,B
1168151,C,C,C,C
116818,D,D,B,B
116819,D,B,B,B
1168192,C,C,C,C
116825,A,C,A,A
1168450,A,B,B,B
116856,A,A,C,C
116857,A,A,B,A
1168597,B,B,B,B
116867,D,D,D,D
116868,B,B,B,D
116882,A,A,A,A
116885,C,C,C,C
11690,C,B,B,B
116910,D,D,C,C
116920,D,D,D,D
116922,B,B,B,B
1169312,C,C,C,C
116952,C,C,C,C
116963,C,C,D,D
1169746,B,B,B,B
1169923,C,C,C,C
1170440,B,B,A,A
117056,C,C,C,C
117058,D,B,B,B
117077,D,D,D,C
117079,C,A,A,A
117084,B,B,B,B
117108,D,D,D,C
117154,B,B,B,B
117162,C,C,C,C
117169,C,C,C,C
117182,B,B,B,B
117212,D,D,D,D
117216,B,B,B,B
117226,C,C,C,C
117272,C,C,C,C
117274,C,A,A,A
11731,C,C,,C
117311,B,B,B,B
117316,C,C,C,D
117319,B,B,B,B
1173204,C,C,,B
1173213,D,D,D,D
117349,B,B,B,B
117358,C,C,C,C
117361,B,B,B,B
117362,B,B,B,B
117372,C,C,C,C
117373,D,B,B,D
117404,A,A,A,C
11741,C,C,C,C
1174430,C,C,C,C
117449,B,B,B,B
117452,B,B,B,B
11746,D,C,C,C
117470,C,C,C,D
1174735,B,B,B,B
1174886,D,D,D,D
117516,C,C,C,A
1175278,A,A,A,A
117546,B,D,D,D
1175595,A,A,A,C
1175720,B,B,B,B
117579,B,B,B,B
117606,B,B,B,B
117613,C,B,B,B
117624,C,C,C,C
1176285,C,C,C,C
117633,D,C,C,C
117637,C,C,C,C
117642,C,C,C,C
11765,B,B,D,D
117653,C,C,C,C
117672,B,B,B,B
117673,C,C,C,C
117676,A,A,C,C
1176794,D,D,D,C
1177544,D,D,D,D
117767,C,C,C,C
117776,B,B,B,B
117780,A,A,A,A
117822,C,C,C,C
117824,D,C,C,C
117869,A,A,B,B
117871,B,A,A,A
117876,B,B,B,B
117895,B,B,B,B
117898,B,B,B,B
117899,B,B,B,B
117904,D,D,D,D
1179062,C,C,C,C
117966,C,B,,B
117969,A,A,A,A
117970,B,B,A,A
117973,C,A,A,C
1180,C,C,C,C
118023,D,C,C,C
1180256,D,D,D,D
118030,B,B,B,C
118041,D,D,,D
118055,B,B,C,C
118070,A,B,B,B
118071,B,B,B,B
