aid,past_paperCount,first_year,first_genre,past_logCit,post_logCit,post_paperCount,post_career,whole_count,past_es,past_es_dis
3196,24,2000,"[79, 73, 79]",2.4684920695433004,3.2872076834871953,8,4,32,0.43478260869565216,0.5054346859978814
3197,27,1991,"[75, 75]",1.461472552410832,2.3578626950902186,54,14,81,0.2692307692307692,0.44542310111978883
3198,20,2001,"[75, 71]",2.4061454322546796,2.427425401462244,12,4,32,0.42105263157894735,0.43760111959283404
3214,2,1992,"[5, 5, 68]",0.6931471805599453,1.976242933089696,9,5,11,0.0,0.7570893965932904
3224,7,1997,"[42, 42, 31, 78]",1.5919427719254198,1.2083362491537235,10,5,17,0.5,0.7915242696104188
3237,10,1992,[74],1.3809089990161352,1.2270245700232798,16,12,26,0.4444444444444444,0.5036225201999041
3243,15,1999,"[74, 74, 74]",1.7716118339209523,1.4572364044025519,4,2,19,0.42857142857142855,0.59283509184337
3266,7,1988,"[64, 2, 64]",1.122883579638881,0.7489330683884978,4,16,11,0.3333333333333333,0.6321805706876494
3270,21,1996,"[68, 61, 64, 61]",1.5197740630748782,1.1604400538255129,21,6,42,0.2,0.48088893156778845
3274,10,1995,"[61, 63]",1.6065039118769722,2.121584773003589,17,10,27,0.6666666666666666,0.6919408111840263
3281,17,1999,[33],1.6369683736537823,1.2136851176488221,10,6,27,0.5625,0.6960926056055404
3295,13,1986,"[76, 75]",1.3352159555291376,1.4870453794182796,58,18,71,0.4166666666666667,0.6174147896265735
3299,22,1987,"[25, 21, 23, 27]",1.3323128887702305,1.8177113650782093,37,17,59,0.38095238095238093,0.706710439790862
3308,21,1996,[73],2.4801972293075942,2.550567421324645,28,9,49,0.25,0.45211883492338767
3318,23,1989,[68],1.9645358814112313,1.2424533248940002,2,8,25,0.2727272727272727,0.5621827897015382
3332,14,1994,"[61, 74, 75]",2.1233392096907875,1.866738971837812,17,11,31,0.3076923076923077,0.5148171103290772
3333,13,1992,"[79, 71, 75, 75]",0.9585308379316059,1.5494654375140577,30,12,43,0.4166666666666667,0.4293644265714697
3335,8,2001,"[75, 74, 75, 78]",1.1581035696575315,1.7589649856029035,5,3,13,0.5714285714285714,0.48955339069411574
3355,34,1995,"[74, 74]",2.340976364027421,1.3713183062662473,6,9,40,0.2727272727272727,0.39989723801641464
3358,12,1995,"[73, 73]",1.4583089220144858,1.827898255314139,37,10,49,0.45454545454545453,0.6221790879353053
3363,39,1994,"[75, 75, 81, 65]",2.023439104240439,1.4337548187158726,62,11,101,0.2631578947368421,0.4353032531281295
3365,17,1991,[75],1.308428210177708,1.9599761164380751,65,14,82,0.4375,0.4964856715312698
3371,23,2001,"[42, 3, 3, 42]",2.739433295155576,2.3032723527856622,16,4,39,0.09090909090909091,0.32287151634256905
3372,32,1994,"[68, 73, 73, 82]",2.0884598117713002,1.4702891827152909,71,11,103,0.1935483870967742,0.5123337128360007
3373,13,1999,"[71, 71, 76]",1.6901035275028766,1.4850090116375787,13,6,26,0.25,0.623497400091508
