aid,past_paperCount,first_year,first_genre,past_logCit,post_logCit,post_paperCount,post_career,whole_count,past_es,past_es_dis
238,10,2005,"[2, 34]",1.6916791329506307,1.6152622899658353,21,7,31,0.7777777777777778,0.7380695422630724
248,10,2008,"[3, 3, 42]",2.9845870157143244,3.279969523631086,3,4,13,0.1111111111111111,0.19211529184744602
249,10,2008,"[78, 42, 42, 73]",1.9449083421205628,1.8585165204732121,7,1,17,0.3333333333333333,0.687769452967035
251,10,2002,"[42, 78]",1.1379988181542169,0.5493061443340549,4,3,14,0.7777777777777778,0.6665016597831784
253,10,1987,"[11, 11, 12]",2.5177247252320183,1.719258938019933,57,20,67,0.1111111111111111,0.23268931871414114
254,10,1992,"[61, 63, 64, 64]",1.2345069077585753,1.3220667576736336,4,5,14,0.6666666666666666,0.6767488152220582
261,10,2002,"[71, 71, 71, 74]",1.9809533389869334,1.800475320925904,16,6,26,0.4444444444444444,0.6688854498366056
262,10,2005,"[74, 74, 74, 74]",2.105683486332816,2.0707090494006013,14,4,24,0.6666666666666666,0.6833356979450054
263,10,2007,"[68, 61]",2.305944980861528,1.8832799780749012,11,4,21,0.5555555555555556,0.6364102510019575
272,10,1995,"[72, 72, 72, 73]",1.2631928443286073,1.8379886896439146,40,12,50,0.5555555555555556,0.784277685314544
274,10,1998,"[61, 64, 81, 84]",1.8400249439079843,1.551008797588729,25,10,35,0.4444444444444444,0.6885881090431729
275,10,1990,"[75, 64, 61]",1.848599016786802,1.5878723099339727,28,12,38,0.4444444444444444,0.7157266710647051
282,10,2000,[72],1.4865520664793166,0.9658317081059553,8,9,18,0.5555555555555556,0.6281392978618324
287,10,2002,"[61, 64, 61]",1.3708548760939474,0.9534659266275906,24,8,34,0.4444444444444444,0.7204426700331673
289,10,2001,"[75, 61, 81, 75]",1.2870820351568422,1.1859550860258004,9,4,19,0.2222222222222222,0.6852450924760832
291,10,1994,"[68, 64, 82, 68]",1.6087025947880744,1.332183905767183,24,9,34,0.5555555555555556,0.6084465619466483
299,10,1987,"[63, 61, 74]",1.0738134295369774,1.120618097495494,20,9,30,0.4444444444444444,0.7924151657920799
300,10,2006,"[61, 61, 61, 61]",1.7624870207127834,1.0473910410205678,13,6,23,0.4444444444444444,0.7356657821485509
309,10,1995,"[74, 72, 74]",1.438594758453128,1.8150460555436236,17,9,27,0.3333333333333333,0.6354384505265074
311,10,1998,"[71, 64, 71, 75]",1.5431916139713968,1.6458419478027722,7,4,17,0.7777777777777778,0.7556874469978404
313,10,1988,"[64, 81]",2.1004419509694663,1.5566165274176607,11,10,21,0.3333333333333333,0.5943650618561049
324,10,1986,"[42, 32, 52]",2.5196274438574116,2.2242483577747514,51,16,61,0.1111111111111111,0.5091006594261076
325,10,1989,"[52, 34, 52, 52]",2.881056503569698,2.1831120010548584,52,14,62,0.2222222222222222,0.4866724033129931
329,10,2001,[75],1.0268130666124038,0.3662040962227033,3,2,13,0.4444444444444444,0.5689330492892816
332,10,1989,"[79, 71]",1.4098509682511673,1.3376557053552856,45,17,55,0.5555555555555556,0.6275537532925194
333,10,2000,"[79, 71, 72, 71]",1.3859948407394844,0.0,1,0,11,0.4444444444444444,0.46425786009538367
334,10,1999,[61],1.4219374384705465,1.26183793272559,25,7,35,0.6666666666666666,0.6063095517460333
337,10,1996,"[78, 61]",1.7021335185257578,2.149295765182397,20,4,30,0.6666666666666666,0.6277975595038838
341,10,2007,"[75, 75, 75]",3.8902305055864685,2.9802684894412375,80,6,90,0.5555555555555556,0.4662586697876738
344,10,2004,"[75, 71, 75, 75]",2.4330607286800388,2.9235391899611898,9,6,19,0.4444444444444444,0.487757628203881
353,10,1999,"[74, 74, 78, 79]",2.7572598201504612,2.151002331730217,17,5,27,0.2222222222222222,0.43247329918208277
356,10,1995,"[78, 78]",1.600050059763215,1.9244360874646924,43,14,53,0.5555555555555556,0.5360410022931518
360,10,2001,"[68, 79, 79]",2.0005563634330086,2.4788630588648486,27,5,37,0.3333333333333333,0.5282114454955352
366,10,2001,"[79, 71, 71, 71]",1.1954529619694267,2.5649493574615367,1,0,11,0.8888888888888888,0.7738122731759882
367,10,1997,"[78, 61]",1.8293516239610046,2.1720061997712374,77,15,87,0.3333333333333333,0.46323967777867014
370,10,1994,"[61, 61, 68]",1.300087347981662,1.3130890326900604,6,3,16,0.8888888888888888,0.8389462395503443
375,10,1993,[34],1.2088639548638078,1.3106085442414421,3,3,13,0.5555555555555556,0.753900982107188
380,10,1996,"[68, 68, 73]",1.6802191995997848,1.4314477293411472,8,8,18,0.5555555555555556,0.7128238548804653
382,10,1995,"[33, 33, 33]",2.5066232763361027,1.5475123729896036,12,4,22,0.7777777777777778,0.8071165084333802
383,10,1993,"[61, 68, 75]",0.8707482917859369,1.388777883554489,40,15,50,0.4444444444444444,0.8429141528992337
389,10,1995,"[68, 5, 81, 81]",1.4565416072342827,1.6949804768680632,4,4,14,0.4444444444444444,0.6618627902649619
392,10,1999,"[78, 81, 63]",1.1310172603303754,1.8578988382208304,28,7,38,0.4444444444444444,0.602403309350771
399,10,2003,"[75, 75, 75, 75]",2.1431724161410792,2.481628364124993,20,5,30,0.5555555555555556,0.5823357273836282
401,10,2010,"[73, 74, 74]",1.421401818550494,1.6686277991761964,25,3,35,0.3333333333333333,0.7281374025626657
404,10,1994,"[64, 61]",1.4373044179695371,1.3494974660641414,10,6,20,0.3333333333333333,0.4564339252068819
405,10,1992,"[68, 47, 68]",1.696071056344114,0.9123174479282474,18,11,28,0.3333333333333333,0.5852631099337428
408,10,2007,"[76, 75]",2.9223703499224,1.858319383057759,30,5,40,0.3333333333333333,0.453155759092643
410,10,2002,"[75, 72, 75, 71]",1.5343235034502043,2.1283973709079302,29,6,39,0.2222222222222222,0.45409297384643416
411,10,2003,"[75, 71, 78]",2.25485917757164,2.0061907246992696,52,4,62,0.4444444444444444,0.6628135540130816
412,10,2010,"[74, 74, 74]",2.1221628325489057,2.2005017823524904,13,2,23,0.5555555555555556,0.47638481267981636
416,10,2000,"[72, 72, 73]",1.6778389006647187,2.358547725712342,27,10,37,0.3333333333333333,0.48884061692273867
422,10,1995,"[73, 78, 78]",1.6661899079877514,1.8562143622582248,34,13,44,0.4444444444444444,0.5161040339166375
432,10,1994,"[64, 77]",2.29259615005586,2.025315849356134,18,14,28,0.1111111111111111,0.5372430286351335
440,10,1995,"[61, 61, 74, 78]",2.316695041219282,1.8805417110060527,143,14,153,0.6666666666666666,0.48827148365585
442,10,1993,"[75, 75]",1.2987230703412833,1.4978661367769956,2,2,12,0.4444444444444444,0.4020106266720375
452,10,2004,"[74, 74, 78]",1.2947781392704552,2.4107676679817374,9,3,19,0.5555555555555556,0.5405359096882482
453,10,1993,"[74, 78]",1.7732998602823478,1.4929217461311417,7,11,17,0.5555555555555556,0.5709752168082054
462,10,2001,"[79, 71, 71]",2.057708332676833,1.5811851453747878,21,10,31,0.5555555555555556,0.5051750537321497
