tmt1,tmt2,var,mean1,mean2,pop.sd,std.eff.sz,p,ks,ks.pval,stop.method
2,3,Genre_18,3e-04,4e-04,0.0238,0.001,0.9513,0,1,ks.mean
2,3,Genre_19,0.0079,0.004,0.0924,0.0417,0.0532,0.0038,1,ks.mean
2,3,Genre_20,0.017,0.0123,0.1491,0.0315,0.2676,0.0047,1,ks.mean
2,3,Genre_21,0.0612,0.051,0.2327,0.0438,0.1158,0.0102,0.9998,ks.mean
2,3,Genre_22,0.0131,0.007,0.132,0.0461,0.044,0.0061,1,ks.mean
2,3,Genre_23,0.0375,0.0252,0.1844,0.0668,0.0229,0.0123,0.9961,ks.mean
2,3,Genre_24,0.0024,0.0036,0.0711,0.0173,0.4467,0.0012,1,ks.mean
2,3,Genre_25,0.0105,0.0067,0.1264,0.0301,0.2123,0.0038,1,ks.mean
2,3,Genre_26,0.0011,0.001,0.042,0.0011,0.9561,0,1,ks.mean
2,3,Genre_27,0.012,0.0045,0.1186,0.0638,0.0018,0.0076,1,ks.mean
2,3,Genre_28,0.0932,0.083,0.2894,0.0355,0.2418,0.0103,0.9998,ks.mean
2,3,Genre_29,6e-04,6e-04,0.0475,3e-04,0.9876,0,1,ks.mean
2,3,Genre_30,0.0018,0.0011,0.046,0.0153,0.5867,7e-04,1,ks.mean
2,3,Genre_31,0.0011,6e-04,0.0537,0.0093,0.4891,5e-04,1,ks.mean
2,3,Genre_32,0.0014,0.0024,0.0628,0.017,0.4963,0.0011,1,ks.mean
2,3,Genre_33,0.0215,0.013,0.1665,0.0512,0.1038,0.0085,1,ks.mean
2,3,Genre_34,0.0025,0.0014,0.0639,0.0163,0.5184,0.001,1,ks.mean
2,3,Genre_35,0.0383,0.0079,0.1922,0.1584,0,0.0305,0.2581,ks.mean
2,3,Genre_36,0.1064,0.1084,0.3159,0.0065,0.8591,0.002,1,ks.mean
2,3,Genre_37,0.0126,0.0154,0.1278,0.0221,0.496,0.0028,1,ks.mean
2,3,Genre_38,0.0212,0.0253,0.1629,0.0251,0.4476,0.0041,1,ks.mean
